,corp_brand_id,corporate_brand,material_type,level,date,snapshot_date,Brand_ΔFIP_%,Brand_Abs_Impact,Brand_MT_Abs_Impact,Net_vs_Abs_Ratio,Signal_SKU_%,Impact_from_Signal_%,Top_1_SKU_%,Top_5_SKU_%,Top_10_SKU_%,Plant_Concentration_%,Qty_Impact_%,Cost_Impact_%,Weighted_Dominance,Driver_Conflict_%,Avg_Persistence,Structural_Shift_Index,MaterialType_Impact_%,Actionability_Index,Ownership_Clarity_Index,Explainability_Score
16,00000nan,nan,,BRAND,202612,2025-10-24,59.27,9265.09,,100.0,1.46,0.0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,0.0,0.03,0.0,,0.0,100.0,40.68
17,00000nan,nan,,BRAND,202612,2025-10-31,4.65,1157.52,,100.0,1.46,0.0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,0.0,0.02,0.0,,0.0,100.0,40.65
18,00000nan,nan,,BRAND,202612,2025-11-07,-0.0,0.0,,100.0,1.55,100.0,100.0,100.0,100.0,100.0,100.0,-0.0,1.0,5.88,0.01,0.0,,100.0,100.0,40.66
19,00000nan,nan,,BRAND,202712,2025-07-18,,0.0,,,100.0,,,,,,,,,0.0,0.0,0.0,,,,
20,00000nan,nan,,BRAND,202712,2025-07-25,0.0,0.0,,,1.47,,,,,,,,,0.0,0.01,0.0,,,,
21,00000nan,nan,,BRAND,202712,2025-08-01,0.0,0.93,,100.0,1.38,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,6.67,0.02,0.0,,100.0,100.0,40.61
22,00000nan,nan,,BRAND,202712,2025-08-08,8.32,1958.44,,89.23,1.76,100.0,94.62,100.0,100.0,100.0,100.0,0.0,1.0,15.79,0.08,0.0,,100.0,100.0,40.96
23,00000nan,nan,,BRAND,202712,2025-08-15,-8.47,1927.05,,100.0,1.37,100.0,96.16,100.0,100.0,100.0,100.0,-0.0,1.0,20.0,0.08,0.0,,100.0,100.0,40.83
24,00000nan,nan,,BRAND,202712,2025-08-22,-9.06,1885.92,,100.0,1.46,100.0,98.26,100.0,100.0,100.0,100.0,-0.0,1.0,12.5,0.01,0.0,,100.0,100.0,40.63
25,00000nan,nan,,BRAND,202712,2025-08-26,,0.0,,,1.46,,,,,,,,,0.0,0.0,0.0,,,,
26,00000nan,nan,,BRAND,202712,2025-08-29,0.0,0.0,,,1.46,,,,,,,,,0.0,0.01,0.0,,,,
27,00000nan,nan,,BRAND,202712,2025-09-05,0.0,0.0,,,1.46,,,,,,,,,0.0,0.01,0.0,,,,
28,00000nan,nan,,BRAND,202712,2025-09-12,0.0,0.0,,,1.46,,,,,,,,,0.0,0.02,0.0,,,,
29,00000nan,nan,,BRAND,202712,2025-09-18,0.0,0.0,,,10.54,,,,,,,,,0.0,0.04,0.0,,,,
30,00000nan,nan,,BRAND,202712,2025-09-19,-0.0,0.0,,100.0,1.33,100.0,100.0,100.0,100.0,100.0,100.0,-0.0,1.0,6.25,0.01,0.0,,100.0,100.0,40.57
31,00000nan,nan,,BRAND,202712,2025-09-26,-0.0,0.0,,100.0,2.83,100.0,98.17,100.0,100.0,100.0,100.0,-0.0,1.0,14.29,0.04,0.0,,100.0,100.0,41.27
32,00000nan,nan,,BRAND,202712,2025-10-03,0.0,0.0,,,2.51,,,,,,,,,0.0,0.01,0.0,,,,
33,00000nan,nan,,BRAND,202712,2025-10-10,0.0,0.0,,,1.73,,,,,,,,,0.0,0.0,0.0,,,,
34,00000nan,nan,,BRAND,202712,2025-10-17,62.97,9843.85,,100.0,1.37,0.0,94.12,100.0,100.0,94.12,100.0,0.0,1.0,13.33,0.02,0.0,,0.0,100.0,40.62
35,00000nan,nan,,BRAND,202712,2025-10-24,59.27,9265.09,,100.0,1.46,0.0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,0.0,0.03,0.0,,0.0,100.0,40.68
36,00000nan,nan,,BRAND,202712,2025-10-31,4.65,1157.52,,100.0,1.46,0.0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,0.0,0.02,0.0,,0.0,100.0,40.65
37,00000nan,nan,,BRAND,202712,2025-11-07,-0.0,0.0,,100.0,1.55,100.0,100.0,100.0,100.0,100.0,100.0,-0.0,1.0,5.88,0.01,0.0,,100.0,100.0,40.66
38,00000nan,nan,,BRAND,202812,2025-07-18,,0.0,,,100.0,,,,,,,,,0.0,0.0,0.0,,,,
39,00000nan,nan,,BRAND,202812,2025-07-25,0.0,0.0,,,2.05,,,,,,,,,0.0,0.02,0.0,,,,
40,00000nan,nan,,BRAND,202812,2025-08-01,0.0,0.93,,100.0,1.9,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,7.69,0.02,0.0,,100.0,100.0,40.84
41,00000nan,nan,,BRAND,202812,2025-08-08,8.5,1958.44,,89.23,2.54,100.0,94.62,100.0,100.0,100.0,100.0,0.0,1.0,17.65,0.12,0.0,,100.0,100.0,41.43
42,00000nan,nan,,BRAND,202812,2025-08-15,-8.63,1927.05,,100.0,1.89,100.0,96.16,100.0,100.0,100.0,100.0,-0.0,1.0,23.08,0.13,0.0,,100.0,100.0,41.2
